movie_id,title,director_name,writer_name,country
Hercules_Against_the_Mongols,Hercules Against the Mongols,Domenico Paolella,Luciano Martino|Domenico Paolella,Italy
Hercules_Against_the_Moon_Men,Hercules Against the Moon Men,Giacomo Gentilomo,"*  Giacomo Gentilomo
* Angelo Sangermano
* Arpad DeRiso
* Nino Scolaro","* France 
* Italy"
Hercules_Against_the_Sons_of_the_Sun,Hercules Against the Sons of the Sun,Osvaldo Civirani,NOT_FOUND,NOT_FOUND
Hercules_Unchained,Hercules Unchained,Pietro Francisci,Pietro Francisci|Ennio De Concini,Italy|France
Hercules_and_the_Circle_of_Fire,Hercules and the Circle of Fire,Doug Lefler,Barry Pullman,NOT_FOUND
Hercules_and_the_Lost_Kingdom,Hercules and the Lost Kingdom,Harley Cokeliss,Christian Williams,NOT_FOUND
Hercules_in_New_York,Hercules in New York,Arthur Allan Seidelman,Aubrey Wisberg,United States
Hercules_in_the_Haunted_World,Hercules in the Haunted World,Mario Bava,Duccio Tessari|Alessandro Continenza|Franco Prosperi,Italy
Hercules_in_the_Maze_of_the_Minotaur,Hercules in the Maze of the Minotaur,Josh Becker,Andrew Dettmann|Daniel Truly,NOT_FOUND
Hercules_vs._Moloch,Hercules vs. Moloch,Giorgio Ferroni,Giorgio Ferroni,Italy
Here_(2003_film),Here,Zrinko Ogresta,Zrinko Ogresta,Croatia
Here_(2009_film),Here,NOT_FOUND,NOT_FOUND,Singapore
Here_(2011_film),Here,Braden King,Braden King,United States
Here_Come_the_Co-Eds,Here Come the Co-Eds,Jean Yarbrough,Arthur T. Horman|John Grant (screenwriter)|Edmund Hartmann,United States
Here_Come_the_Marines,Here Come the Marines,William Beaudine,Tim Ryan (actor),United States
Here_Comes_Carter,Here Comes Carter,William Clemens (film director),NOT_FOUND,United States
Here_Comes_Cookie,Here Comes Cookie,Norman Z. McLeod,NOT_FOUND,United States
Here_Comes_Mr._Jordan,Here Comes Mr. Jordan,Alexander Hall,Sidney Buchman|Seton I. Miller,United States
Here_Comes_the_Boom,Here Comes the Boom,Frank Coraci,Allan Loeb|Kevin James,United States
"Here_Comes_the_Bride,_My_Mom!","Here Comes the Bride, My Mom!",Mipo Oh,Mipo Oh,Japan
Here_Comes_the_Devil,Here Comes the Devil,Adrián García Bogliano,Adrián García Bogliano,Mexico
Here_Comes_the_Groom,Here Comes the Groom,Frank Capra,Myles Connolly|Liam O'Brien (screenwriter)|Virginia Van Upp,United States
Here_Comes_the_Groom_(1934_film),Here Comes the Groom,Edward Sedgwick,Casey Robinson,United States
Here_Comes_the_Navy,Here Comes the Navy,Lloyd Bacon,Earl Baldwin|Ben Markson,United States
Here_Is_Your_Life,Here Is Your Life,Jan Troell,Bengt Forslund|Jan Troell|Eyvind Johnson,Sweden
Here_We_Go_Round_the_Mulberry_Bush_(film),Here We Go Round the Mulberry Bush,Clive Donner,Hunter Davies|Larry Kramer,United Kingdom
Here_and_Elsewhere,Here and Elsewhere,Jean-Pierre Gorin|Anne-Marie Miéville|Jean-Luc Godard,Jean-Pierre Gorin|Anne-Marie Miéville|Jean-Luc Godard,France
Here_and_There_(film),Here and There,NOT_FOUND,NOT_FOUND,Serbia
Here_is_My_Heart,Here is My Heart,Frank Tuttle,Harlan Thompson|Edwin Justus Mayer,United States
Here_on_Earth_(film),Here on Earth,Mark Piznarski,Michael Seitzman,United States
Hereafter_(film),Hereafter,Clint Eastwood,Peter Morgan,United States
Heritage_of_the_Desert_(1932_film),Heritage of the Desert,Henry Hathaway,Harold Shumate,United States
Heritage_of_the_Desert_(1939_film),Heritage of the Desert,Lesley Selander,NOT_FOUND,United States
Herman_U._S._A.,Herman U.S.A.,Bill Semans,Bill Semans,United States
Hero's_Island,Hero's Island,Leslie Stevens,Leslie Stevens,United States
Hero_(1982_film),Hero,Barney Platts-Mills,Barney Platts-Mills,NOT_FOUND
Hero_(1985_film),Hero,Iqbal Yousuf,Waheed Murad,Pakistan
Hero_(1987_film),Hero,Tony Maylam,Tony Maylam,United Kingdom
Hero_(1992_film),Hero,Stephen Frears,David Webb Peoples,United States
Hero_(1997_film),Hero,Corey Yuen,Jeffrey Lau|Corey Yuen,Hong Kong
Hero_(2000_film),Hero,Mark Bamford,Mark Bamford,USA
Hero_(2002_film),Hero,Zhang Yimou,Zhang Yimou,China
Hero_(2006_film),Hero,Swapan Saha,NOT_FOUND,India
Hero_(2007_film),Hero,NOT_FOUND,NOT_FOUND,Japan
Hero_(2008_film),Hero,G. V. Sudhakar Naidu,G. V. Sudhakar Naidu,India
Hero_(2012_film),Hero,Diphan,Vinod Guruvayur,India
Hero_(2015_Hindi_film),Hero,Nikhil Advani,Nikhil Advani,India
Hero_(2015_Japanese_film),Hero,NOT_FOUND,NOT_FOUND,Japan
Hero_Wanted,Hero Wanted,Brian Smrz,"* Chad Law
* Evan Law",United States
Hero_and_the_Terror,Hero and the Terror,NOT_FOUND,Michael Blodgett,United_States
Hero_at_Large,Hero at Large,Martin Davidson,AJ Carothers,United States
Herod's_Law,Herod's Law,Luis Estrada (director),Luis Estrada (director),Mexico
Heroes_(1977_film),Heroes,Jeremy Kagan,James Carabatsos,United States
Heroes_(2008_film),Heroes,Samir Karnik,Samir Karnik,India
Heroes_Shed_No_Tears_(1980_film),Heroes Shed No Tears,Chor Yuen,Chor Yuen,Hong Kong
Heroes_Shed_No_Tears_(1986_film),Heroes Shed No Tears,John Woo,John Woo,Hong Kong
Heroes_Two,Heroes Two,Chang Cheh,Ni Kuang,Hong Kong
Heroes_for_Sale_(film),Heroes for Sale,William Wellman,Robert Lord (screenwriter)|Wilson Mizner,United States
Heroes_of_the_East,Heroes of the East,Lau Kar Leung,NOT_FOUND,Hong_Kong
Heroes_of_the_West_(1932_film),Heroes of the West,Ray Taylor (director),NOT_FOUND,United States
Heroes_of_the_West_(1964_film),Heroes of the West,Stefano Vanzina,Stefano Vanzina|Sandro Continenza,Italy
Heroic_Duo,Heroic Duo,Benny Chan (film director),Alan Yuen|Adrian Kwan,Hong Kong
Heroic_Purgatory,Heroic Purgatory,Yoshishige Yoshida,NOT_FOUND,Japan
Heroine_(2005_film),Heroine,Gerardo Herrero,NOT_FOUND,NOT_FOUND
Heroine_(2012_film),Heroine,Madhur Bhandarkar,Manoj Tyagi|Anuraadha Tewari,India
Heropanti,Heropanti,Sabbir Khan,Sanjeev Dutta,India
Herostratus_(film),Herostratus,Don Levy,Don Levy,Australia
Hers_to_Hold,Hers to Hold,Frank Ryan,Lewis R. Foster,United States
Hesher_(film),Hesher,Spencer Susser,Spencer Susser|David Michôd,United States
Hester_Street_(film),Hester Street,Joan Micklin Silver,Joan Micklin Silver,United States
Het_Bombardement,Het Bombardement,Ate de Jong,Ate de Jong,Netherlands
Het_is_een_schone_dag_geweest,Het is een schone dag geweest,Jos de Putter,NOT_FOUND,Netherlands
Hex_(1973_film),Hex,NOT_FOUND,Stephen Katz (writer)|Vernon Zimmerman,United_States
Hex_(2015_film),Hex,Clarence Peters,"*Clarence Peters
*Rotimi Oshodi
*Victor Aghahowa",Nigeria
Hexed,Hexed,Alan Spencer,Alan Spencer,United States
Hey_Good_Lookin'_(film),Hey Good Lookin',Ralph Bakshi,Ralph Bakshi,United States
Hey_Ram,Hey Ram,Kamal Haasan,Kamal Haasan|Manohar Shyam Joshi,India
Heyy_Babyy,Heyy Babyy,Sajid Khan (director),Sajid Khan (director),India
"Hi,_Mom!","Hi, Mom!",Brian De Palma,Brian De Palma,United States
Hi-Riders,Hi-Riders,Greydon Clark,Greydon Clark,United_States
Hi_Diddle_Diddle,Hi Diddle Diddle,Andrew L. Stone,Frederick J. Jackson|Edmund Hartmann,United States
Hi_Nellie!,"Hi, Nellie!",Mervyn LeRoy,Sidney Sutherland|Abem Finkel,United States
Hiawatha_(film),Hiawatha,Kurt Neumann (director),NOT_FOUND,United States
Hibernatus,Hibernatus,Édouard Molinaro,Jean Bernard-Luc|Jacques Vilfrid,Italy|France
Hibiscus_Town,Hibiscus Town,Xie Jin,Ah Cheng|Xie Jin,China
Hick_(film),Hick,Derick Martini,Andrea Portes,United States
Hidalgo_(film),Hidalgo,Joe Johnston,John Fusco,United States
Hidden_(2009_film),Hidden,Pål Øie,Pål Øie,Norway
Hidden_(2015_film),Hidden,Matt and Ross Duffer,Matt Duffer|Ross Duffer,United States
Hidden_3D,Hidden 3D,Antoine Thomas,Alan Smithee,Canada|Italy
Hidden_Agenda_(1990_film),Hidden Agenda,Ken Loach,Jim Allen (playwright),United Kingdom
Hidden_Agenda_(2001_film),Hidden Agenda,NOT_FOUND,NOT_FOUND,Canada
Hidden_Figures,Hidden Figures,Theodore Melfi,NOT_FOUND,United States
Hidden_Love,Hidden Love,Alessandro Capone,Alessandro Capone,Italy|Belgium
Hidden_Places,Hidden Places,Yelena Lanskaya,NOT_FOUND,United States
Hidden_in_America,Hidden in America,Martin Bell (director),NOT_FOUND,United States
Hidden_in_the_Woods_(2012_film),Hidden in the Woods,Patricio Valladares,Patricio Valladares,Chile
Hide-Out,Hide-Out,W.S. Van Dyke,Mauri Grashin,United States
Hide-Out_(1930_film),Hide-Out,Reginald Barker,Arthur Ripley|Lambert Hillyer,United States
Hide_Away_(film),Hide Away,Chris Eyre,Peter Vanderwall,United States
Hide_Your_Smiling_Faces,Hide Your Smiling Faces,Daniel Patrick Carbone,NOT_FOUND,United States
Hide_and_Go_Shriek,Hide and Go Shriek,Skip Schoolnik,Michael Kelly,United States
Hide_and_Seek_(1964_film),Hide and Seek,Cy Endfield,David Stone|Harold Greene|Robert Foshko,United Kingdom
Hide_and_Seek_(2005_film),Hide and Seek,John Polson,Ari Schlossberg,United States
Hide_and_Seek_(2013_film),Hide and Seek,Huh Jung,Huh Jung,South Korea
Hide_and_Seek_(2014_film),Hide and Seek,Joanna Coates,"* Joanna Coates
* Daniel Metz","* United Kingdom
* United States"
Hide_in_Plain_Sight,Hide in Plain Sight,James Caan,Leslie Waller,United States
Hideaway_(1937_film),Hideaway,Richard Rosson (filmmaker),J. Robert Bren,United States
Hideaway_(film),Hideaway,Brett Leonard,Neal Jimenez|Andrew Kevin Walker,Cinema_of_the_United_States
Hideaways,Hideaways,Agnès Merlet,Nick Murphy (writer),Ireland|Sweden|France
Hideous!,Hideous!,Charles Band,Benjamin Carr,NOT_FOUND
Hideous_Kinky_(film),Hideous Kinky,Gillies MacKinnon,NOT_FOUND,United States
Hider_in_the_House_(film),Hider in the House,NOT_FOUND,Lem Dobbs,United_States
Hiding_Out,Hiding Out,Bob Giraldi,Joe Menosky,United States
Hierankl,Hierankl,Hans Steinbichler,Hans Steinbichler,Germany
Higglety_Pigglety_Pop!_or_There_Must_Be_More_to_Life,Higglety Pigglety Pop! or There Must Be More to Life,Maciek Szczerbowski|Clyde Henry Productions|Chris Lavis,NOT_FOUND,Canada
"High,_Wide,_and_Handsome","High, Wide, and Handsome",Rouben Mamoulian,George O'Neil|Oscar Hammerstein II,United States
High-Ballin',High-Ballin',Peter Carter (director),"*Richard Robinson
*Stephen Schneck",Canada
High-Rise_(film),High-Rise,Ben Wheatley,Amy Jump,United Kingdom
High_Anxiety,High Anxiety,Mel Brooks,NOT_FOUND,United States
High_Art,High Art,Lisa Cholodenko,Lisa Cholodenko,United States
High_Barbaree_(film),High Barbaree,Jack Conway (filmmaker),Whitfield Cook,United States
High_Crime,High Crime,Enzo G. Castellari,Gianfranco Clerici,"*Italy
*Spain"
High_Crimes,High Crimes,Carl Franklin,NOT_FOUND,United States
High_Fidelity_(film),High Fidelity,Stephen Frears,Scott Rosenberg|John Cusack|Steve Pink,United States
High_Heels_(1918_film),High Heels,P.J. Ramster,NOT_FOUND,Australia
High_Heels_(film),High Heels,Pedro Almodóvar,Pedro Almodóvar,Spain
High_Heels_and_Low_Lifes,High Heels and Low Lifes,Mel Smith,Kim Fuller,United Kingdom|United States
High_Hopes_(1988_film),High Hopes,Mike Leigh,Mike Leigh,United_Kingdom
High_Hopes_(2006_film),High Hopes,Joe Eckardt,Colby Kane|Cecily Gambrell,United States
High_Infidelity,High Infidelity,Franco Rossi (director)|Luciano Salce|Elio Petri|Mario Monicelli,Ruggero Maccari|Elio Petri,Italy
High_Lane_(film),High Lane,Abel Ferry,"Johanne Bernard , Louis-Paul Desanges",France
High_Life_(film),High Life,Gary Yates (director),Lee MacDougall,Canada
High_Noon,High Noon,Fred Zinnemann,Carl Foreman,United States
High_Noon_(2009_film),High Noon,Peter Markle,NOT_FOUND,United States
High_Plains_Drifter,High Plains Drifter,Clint Eastwood,Ernest Tidyman,United States
High_Plains_Invaders,High Plains Invaders,K.T. Donaldson,Richard Beattie,United States
High_Pressure_(film),High Pressure,Mervyn LeRoy,Joseph Jackson (screenwriter),United States
High_Risk_(1981_film),High Risk,Stewart Raffill,Stewart Raffill,"United States, Mexico, UK"
High_Risk_(1995_film),High Risk,Wong Jing,Wong Jing,Hong Kong
High_Road_(film),High Road,Matt Walsh (comedian),Matt Walsh (comedian),United States
High_Road_to_China,High Road to China,Brian G. Hutton,Sandra Weintraub,United States|Yugoslavia|Hong Kong
High_Roller:_The_Stu_Ungar_Story,High Roller: The Stu Ungar Story,A. W. Vidmer,A. W. Vidmer,United States
High_School_(1940_film),High School,George Nichols Jr.,NOT_FOUND,United States
High_School_(1954_film),High School,Luciano Emmer,Vasco Pratolini|Carlo Bernari|Luciano Emmer|Sergio Amidei,NOT_FOUND
High_School_(1968_film),High School,Frederick Wiseman,NOT_FOUND,United States
High_School_(2010_film),High School,"John Stalberg, Jr.",Stephen Susco,United States
High_School_Big_Shot,High School Big Shot,Joel Rapp,Joel Rapp,United States
High_School_Debut_(film),High School Debut,Tsutomu Hanabusa,Kazune Kawahara,Japan
High_School_Hellcats,High School Hellcats,Edward L. Bernds,Jan Lowell|Mark Lowell,United States
High_School_High,High School High,Hart Bochner,David Zucker (filmmaker)|Pat Proft,United States
High_School_Musical_2,High School Musical 2,Kenny Ortega,NOT_FOUND,United_States
High_School_Musical_3:_Senior_Year,High School Musical 3: Senior Year,Kenny Ortega,Peter Barsocchini,United States
High_School_U.S.A.,High School U.S.A.,Rodney Amateau,NOT_FOUND,United States
High_Security_Vacation,High Security Vacation,NOT_FOUND,NOT_FOUND,Russia
High_Sierra_(film),High Sierra,Raoul Walsh,W.R. Burnett|John Huston,United States
High_Society_(1924_film),High Society,Robert F. McGowan,Hal Roach|Frank Capra|H. M. Walker,United States
High_Society_(1955_film),High Society,William Beaudine,Edward Bernds,United States
High_Society_(1956_film),High Society,Charles Walters,John Patrick (dramatist),United States
High_Society_(2014_film),High Society,Julie Lopes-Curval,Julie Lopes-Curval,France
High_Society_(musical),High Society,NOT_FOUND,NOT_FOUND,NOT_FOUND
High_Spirits_(film),High Spirits,Neil Jordan,Neil Jordan,United Kingdom|Ireland|United States
High_Strung_(1991_film),High Strung,Roger Nygard,Steve Oedekerk,United States
High_Strung_(2016_film),High Strung,Michael Damian,Michael Damian,United States
High_Tension,High Tension,Alexandre Aja,Grégory Levasseur|Alexandre Aja,France
High_Tension_(1936_film),High Tension,Allan Dwan,Edward Eliscu|Lou Breslow,United States
High_Tide_(1947_film),High Tide,John Reinhardt,NOT_FOUND,United States
High_Tide_(1987_film),High Tide,Gillian Armstrong,Laura Jones (screenwriter),Australia
High_Time_(film),High Time,Blake Edwards,Tom Waldman|Frank Waldman,United States
High_Treason_(1929_German_film),High Treason,Johannes Meyer (director),NOT_FOUND,Germany
High_Treason_(1929_film),High Treason,Maurice Elvey,L'Estrange Fawcett,United Kingdom
High_Treason_(1951_film),High Treason,Roy Boulting,Frank Harvey (Australian screenwriter)|Roy Boulting,United Kingdom
High_Wall,High Wall,Curtis Bernhardt,Lester Cole|Sydney Boehm,United States
High_and_Dizzy,High and Dizzy,Hal Roach,H.M. Walker,United States
High_and_Low_(1933_film),High and Low,Georg Wilhelm Pabst,NOT_FOUND,France
High_and_Low_(1963_film),High and Low,Akira Kurosawa,Ryuzo Kikushima|Akira Kurosawa|Hideo Oguni,Japan
High_on_Crack_Street:_Lost_Lives_in_Lowell,High on Crack Street: Lost Lives in Lowell,Jon Alpert,Jon Alpert,United States
Highball_(film),Highball,Noah Baumbach,Noah Baumbach|Carlos Jacott,United States
Higher_Ground_(film),Higher Ground,Vera Farmiga,NOT_FOUND,United States
Higher_Learning,Higher Learning,John Singleton,John Singleton,United States
Higher_and_Higher_(film),Higher and Higher,Tim Whelan,Howard Harris (writer)|Jay Dratler|Ralph Spence (screenwriter)|William Bowers|Joshua Logan,United States
Higher_and_Higher_(musical),Higher and Higher,NOT_FOUND,NOT_FOUND,NOT_FOUND
Highlander:_Endgame,Highlander: Endgame,Doug Aarniokoski,Joel Soisson,United States
Highlander:_The_Search_for_Vengeance,Highlander: The Search for Vengeance,Yoshiaki Kawajiri,David Abramowitz,Japan
Highlander:_The_Source,Highlander: The Source,Brett Leonard,Joel Soisson,United States
Highlander_(film),Highlander,Russell Mulcahy,Larry Ferguson (screenwriter)|Gregory Widen,"* United Kingdom
* United States"
Highlander_II:_The_Quickening,Highlander II: The Quickening,Russell Mulcahy,NOT_FOUND,United States
Highly_Dangerous,Highly Dangerous,Roy Ward Baker,Eric Ambler,United Kingdom
Highpoint_(film),Highpoint,Peter Carter,Richard Guttman|Ian Sutherland,Canada
Highway_(1995_film),Highway,Jayaraaj,John E|Jayaraaj,India
Highway_(2002_film),Highway,James Cox (director),Scott Rosenberg,United States
Highway_(2012_film),Highway,Deepak Rauniyar,NOT_FOUND,Nepal
Highway_(2014_Bengali_film),Highway,NOT_FOUND,NOT_FOUND,India
Highway_(2014_Hindi_film),Highway,Imtiaz Ali (director),Imtiaz Ali (director),NOT_FOUND
Highway_(2015_film),Highway,Umesh Vinayak Kulkarni,()|Girish Pandurang Kulkarni,India
Highway_301_(film),Highway 301,Andrew L. Stone,Andrew L. Stone,United States
Highway_61_(film),Highway 61,Bruce McDonald (film director),Don McKellar|Bruce McDonald (film director),NOT_FOUND
Highway_Dragnet,Highway Dragnet,Nathan Juran,Tom Hubbard,United States
Highway_Racer,Highway Racer,Stelvio Massi,NOT_FOUND,Italy
Highway_of_Tears_(film),Highway of Tears,NOT_FOUND,NOT_FOUND,Canada
Highway_to_Hell_(film),Highway to Hell,Ate de Jong,Brian Helgeland,United States
Highwaymen_(film),Highwaymen,Robert Harmon,Craig Mitchell|Hans Bauer,Canada
Hilary_and_Jackie,Hilary and Jackie,Anand Tucker,Frank Cottrell Boyce,United Kingdom
Hilda_Crane,Hilda Crane,Philip Dunne (writer),Philip Dunne (writer),United States
Hilde_(film),Hilde,NOT_FOUND,Maria von Heland,Germany
Hill_24_Doesn't_Answer,Hill 24 Doesn't Answer,Thorold Dickinson,Zvi Kolitz,Israel
Hill_of_Freedom,Hill of Freedom,Hong Sang-soo,Hong Sang-soo,South_Korea
Hillary's_America:_The_Secret_History_of_the_Democratic_Party,Hillary's America: The Secret History of the Democratic Party,Dinesh D'Souza,"* Dinesh D'Souza
* Bruce Schooley",United States
Hillbillys_in_a_Haunted_House,Hillbillys in a Haunted House,Jean Yarbrough,NOT_FOUND,United States
Hills_of_Home_(film),Hills of Home,Fred M. Wilcox,Eric Knight|William Ludwig,United States
Hillsborough_(2014_documentary),Hillsborough,Daniel Gordon (film director),NOT_FOUND,"* United States
* United Kingdom"
Hillsborough_(film),Hillsborough,Charles McDougall,NOT_FOUND,United Kingdom
Hillside_Cannibals,Hillside Cannibals,NOT_FOUND,Steve Bevilacqua,United States
Himalaya_(film),Himalaya,Eric Valli,Louis Gardel|Eric Valli,Nepal
Himiko_(film),Himiko,Masahiro Shinoda,Masahiro Shinoda|Taeko Tomioka,Japan
Himizu_(film),Himizu,Sion Sono,Minoru Furuya|Sion Sono,Japan
Himmatwala_(1983_film),Himmatwala,K. Raghavendra Rao,Kadar Khan|K. Raghavendra Rao,India
Himmatwala_(1998_film),Himmatwala,NOT_FOUND,NOT_FOUND,NOT_FOUND
Himmatwala_(2013_film),Himmatwala,Sajid Khan (director),Sajid Khan (director),India
Hindle_Wakes_(1918_film),Hindle Wakes,Maurice Elvey,Stanley Houghton|Eliot Stannard,United Kingdom
Hindle_Wakes_(1927_film),Hindle Wakes,Maurice Elvey,Victor Saville|Stanley Houghton,United Kingdom
Hindle_Wakes_(1931_film),Hindle Wakes,Victor Saville,Victor Saville|Stanley Houghton|Angus MacPhail,United Kingdom
Hindle_Wakes_(1952_film),Hindle Wakes,Arthur Crabtree,Stanley Houghton,United Kingdom
Hindsight_(2008_film),Hindsight,Paul Holahan,Brooke Purdy,United States
Hindsight_(2011_film),Hindsight,Lee Hyun-seung (director),Lee Hyun-seung (director),South Korea
"Hips,_Hips,_Hooray!","Hips, Hips, Hooray!",Mark Sandrich,Harry Ruby|Bert Kalmar,United States
Hiroshima_(film),Hiroshima,Koreyoshi Kurahara|Roger Spottiswoode,John Hopkins (writer),NOT_FOUND
Hiroshima_mon_amour,Hiroshima mon amour,Alain Resnais,Marguerite Duras,Japan|France
His_Brother's_Wife,His Brother's Wife,W. S. Van Dyke,John Meehan (screenwriter),United States
His_Brother's_Wife_(1916_film),His Brother's Wife,Harley Knoles,Harley Knoles,USA
His_Brother_(film),His Brother,Patrice Chéreau,NOT_FOUND,France
His_Butler's_Sister,His Butler's Sister,Frank Borzage,Samuel Hoffenstein,United States
His_Girl_Friday,His Girl Friday,Howard Hawks,Charles Lederer,United States
His_Greatest_Gamble,His Greatest Gamble,Charles Kerr (director)|John S. Robertson,Sidney Buchman,United States
His_Kind_of_Woman,His Kind of Woman,John Farrow|Richard Fleischer,Frank Fenton (writer),United States
"His_Motorbike,_Her_Island","His Motorbike, Her Island",Nobuhiko Obayashi,NOT_FOUND,Japan
His_Musical_Career,His Musical Career,NOT_FOUND,NOT_FOUND,United States
His_Name_Was_Holy_Ghost,His Name Was Holy Ghost,Giuliano Carnimeo,Tito Carpi|Federico De Urrutia,NOT_FOUND
His_Name_Was_King,His Name Was King,NOT_FOUND,NOT_FOUND,Italy
His_New_Profession,His New Profession,Charlie Chaplin,NOT_FOUND,United_States
His_Picture_in_the_Papers,His Picture in the Papers,John Emerson (filmmaker),John Emerson (filmmaker)|Anita Loos,United States
His_Prehistoric_Past,His Prehistoric Past,Charlie Chaplin,Charlie Chaplin,United_States
His_Private_Secretary,His Private Secretary,NOT_FOUND,Jack Natteford,United States
His_Regeneration,His Regeneration,Broncho Billy Anderson,Broncho Billy Anderson,United States
His_Way_(film),His Way,Douglas McGrath,NOT_FOUND,United States
His_Wedding_Night,His Wedding Night,Roscoe Arbuckle,Roscoe Arbuckle,United States
Hisss,Hisss,Jennifer Chambers Lynch,Jennifer Chambers Lynch,United States|India
History_Is_Made_at_Night_(1937_film),History is Made at Night,Frank Borzage,Gene Towne|C. Graham Baker|David Hertz,United States
History_Lessons,History Lessons,Danièle Huillet|Jean-Marie Straub,Danièle Huillet|Bertolt Brecht|Jean-Marie Straub,West Germany
History_and_Memory:_For_Akiko_and_Takashige,History and Memory: For Akiko and Takashige,Rea Tajiri,Rea Tajiri,USA
History_of_Fear,History of Fear,NOT_FOUND,NOT_FOUND,Argentina
History_of_the_Eagles,History of the Eagles,Alison Ellwood,NOT_FOUND,United States
Hit!,Hit!,Sidney J. Furie,Alan Trustman,United States
Hit_Lady_(film),Hit Lady,Tracy Keenan Wynn,Yvette Mimieux,United States
Hit_Man_(film),Hit Man,George Armitage,George Armitage|Ted Lewis (writer),United_States
Hit_Squad_(film),Hit Squad,Bruno Corbucci,Mario Amendola,Italy
Hit_and_Run_(1924_film),Hit and Run,Edward Sedgwick,Edward Sedgwick|Raymond L. Schrock,USA
Hit_and_Run_(1957_film),Hit and Run,Hugo Haas,Hugo Haas|Herbert O. Phillips,United States
Hit_and_Run_(2009_film),Hit and Run,Enda McCallion,Arthur Flam|Diane Doniol-Valcroze,United States
Hit_and_Run_(2012_film),Hit and Run,Dax Shepard,Dax Shepard,United States
Hit_and_Runway,Hit and Runway,Christopher Livingston,"Jaffe Cohen, Christopher Livingston",United States
Hit_by_Lightning,Hit By Lightning,Ricky Blitt,Ricky Blitt,NOT_FOUND
Hit_the_Deck_(1930_film),Hit the Deck,Fred Fleck|Luther Reed,Herbert Fields|Hubert Osborne|Luther Reed,United States
Hit_the_Deck_(1955_film),Hit the Deck,Roy Rowland (film director),Sonya Levien|William Ludwig,United States
Hit_the_Ice_(film),Hit the Ice,Charles Lamont,Robert Lees|True Boardman,United States
Hit_the_Road,Hit the Road,Joe May,NOT_FOUND,United States
Hitch_(film),Hitch,Andy Tennant,Kevin Bisch,United States
Hitchcock/Truffaut_(film),Hitchcock/Truffaut,Kent Jones,"* Kent Jones
* Serge Toubiana","* France
* United States"
Hitchcock_(film),Hitchcock,Sacha Gervasi,NOT_FOUND,United States
Hitler's_Children_(1943_film),Hitler's Children,Irving Reis|Edward Dmytryk,Emmet Lavery,United States
Hitler's_Children_(2011_film),Hitler's Children,NOT_FOUND,NOT_FOUND,Israel|Germany
Hitler's_Folly,Hitler's Folly,Bill Plympton,Bill Plympton,United States
Hitler's_Madman,Hitler's Madman,Douglas Sirk,Bart Lytton|Peretz Hirschbein|Emil Ludwig|Edgar G. Ulmer|Edna St. Vincent Millay,NOT_FOUND
Hitler:_A_Film_from_Germany,Hitler: A Film from Germany,Hans-Jürgen Syberberg,Hans-Jürgen Syberberg,United Kingdom|West Germany|France
Hitler:_The_Last_Ten_Days,Hitler: The Last Ten Days,Ennio De Concini,Gerhard Boldt|Ennio De Concini,United Kingdom|Italy
Hitler_(1962_film),Hitler,Stuart Heisler,Sam Neuman,United States
Hitler_(1996_film),Hitler,Siddique (director),Siddique (director),India
Hitler_(1997_film),Hitler,Muthyala Subbaiah,L. B. Sriram,India
Hitler_(1998_film),Hitler,T L V Prasad,NOT_FOUND,NOT_FOUND
Hitman's_Run,Hitman's Run,Mark L. Lester,NOT_FOUND,United_States
Hitman:_Agent_47,Hitman: Agent 47,Aleksander Bach,NOT_FOUND,"* Germany
* United States
* United Kingdom"
Hitman_(1997_film),Hitman,NOT_FOUND,NOT_FOUND,United Kingdom
Hitman_(1998_film),Hitman,Stephen Tung,Vincent Kok,Hong_Kong
Hitman_(2007_film),Hitman,Xavier Gens,Skip Woods,"* France
* United States
* United Kingdom"
Hitman_(2014_film),Hitman,Wazed Ali Sumon,NOT_FOUND,Bangladesh
Hitman_Hart:_Wrestling_with_Shadows,Hitman Hart: Wrestling with Shadows,Paul Jay,Paul Jay,NOT_FOUND
Hits_(film),Hits,David Cross,David Cross,United States
Hittin'_the_Trail_for_Hallelujah_Land__Hittin'_the_Trail_for_Hallelujah_Land__1,Hittin' the Trail for Hallelujah Land,NOT_FOUND,NOT_FOUND,NOT_FOUND
Hitting_a_New_High,Hitting a New High,Raoul Walsh,NOT_FOUND,United States
Ho_Mann_Jahaan,Ho Mann Jahaan,Asim Raza,Yasir Hussain,Pakistand
Hobgoblins_(film),Hobgoblins,Rick Sloane,Rick Sloane,United States
Hobgoblins_2,Hobgoblins 2,Rick Sloane,Rick Sloane,United States
Hobo_with_a_Shotgun,Hobo with a Shotgun,Jason Eisener,NOT_FOUND,Canada
Hobson's_Choice_(1931_film),Hobson's Choice,Thomas Bentley,Frank Launder,United Kingdom
Hobson's_Choice_(1954_film),Hobson's Choice,David Lean,Wynyard Browne|Norman Spencer|Harold Brighouse|David Lean,United Kingdom
Hocus_Pocus_(1993_film),Hocus Pocus,Kenny Ortega,Mick Garris,United States
Hoffa,Hoffa,Danny DeVito,David Mamet,United States|France
Hoffman_(film),Hoffman,Alvin Rakoff,Ernest Gébler,United Kingdom
Hog_Wild_(1930_film),Hog Wild,James Parrott,Stan Laurel|H. M. Walker,United States
